"FirstName","LastName","DisplayName","SamAccountName","DistinguishedName","EmailAddress","EmpID","Title","Department","Guid","Created","Modified","Enabled","UserPrincipalName","SID","PrimaryGroupID","PasswordLastSet","LastLogonDate","AccountExpirationDate","LockoutTime","LockedOut","LogonCount","BadPasswordCount","PasswordNeverExpires","CannotChangePassword","SmartCardRequired","Manager","Office","PhoneNumber","Mobile","Company"
"Jeffrey","Turner","Jeffrey Turner","jturner","CN=Turner,Jeffrey,OU=Users,OU=Security,DC=adnauseumgaming,DC=com","jturner@adnauseumgaming.com","7129","Software Engineer","Security","3f10fbd4-97f2-4024-adac-a8c3376a8bfe","4/1/2025 9:16 PM","7/1/2025 9:16 PM","TRUE","jturner@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","7/19/2025 9:16 PM","7/21/2025 9:16 PM","","","FALSE","89","0","FALSE","FALSE","FALSE","","Building H, Floor 2","555-1000","555-2000","AdNauseum Gaming"
"Douglas","Smith","Douglas Smith","dsmith","CN=Smith,Douglas,OU=Users,OU=Engineering,DC=adnauseumgaming,DC=com","dsmith@adnauseumgaming.com","5605","Security Analyst","Engineering","6dfaa484-5f24-446a-a9e6-ad7ceb6e712a","1/10/2025 9:16 PM","7/1/2025 9:16 PM","TRUE","dsmith@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","5/28/2025 9:16 PM","7/18/2025 9:16 PM","","","FALSE","220","1","FALSE","FALSE","FALSE","enelson","Building B, Floor 2","555-1000","555-2000","AdNauseum Gaming"
"Keith","Thomas","Keith Thomas","kthomas","CN=Thomas,Keith,OU=Users,OU=HR,DC=adnauseumgaming,DC=com","kthomas@adnauseumgaming.com","4557","Security Analyst","HR","8e5c77fb-7a42-4982-8fb9-385ccfe6ad9b","9/6/2024 9:16 PM","7/2/2025 9:16 PM","TRUE","kthomas@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","7/2/2025 9:16 PM","7/19/2025 9:16 PM","","","FALSE","124","0","FALSE","FALSE","FALSE","","Building G, Floor 2","555-1000","555-2000","AdNauseum Gaming"
"Jeremy","Lewis","Jeremy Lewis","jlewis","CN=Lewis,Jeremy,OU=Users,OU=Engineering,DC=adnauseumgaming,DC=com","jlewis@adnauseumgaming.com","2959","Training Coordinator","Engineering","f08a4fce-067c-4b3f-9dfb-d3a31eccf01d","8/2/2024 9:16 PM","6/27/2025 9:16 PM","TRUE","jlewis@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/4/2025 9:16 PM","7/17/2025 9:16 PM","","","FALSE","159","0","FALSE","FALSE","FALSE","enelson","Building D, Floor 1","555-1000","555-2000","AdNauseum Gaming"
"Ethan","Ward","Ethan Ward","eward","CN=Ward,Ethan,OU=Users,OU=Security,DC=adnauseumgaming,DC=com","eward@adnauseumgaming.com","8148","Business Analyst","Security","10fe08c3-2973-4f2e-bc5f-d92531bbadcb","9/5/2024 9:16 PM","7/8/2025 9:16 PM","TRUE","eward@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/23/2025 9:16 PM","7/18/2025 9:16 PM","","","FALSE","479","1","FALSE","FALSE","FALSE","rhill","Building A, Floor 1","555-1000","555-2000","AdNauseum Gaming"
"Sofia","Hernandez","Sofia Hernandez","shernandez","CN=Hernandez,Sofia,OU=Users,OU=Finance,DC=adnauseumgaming,DC=com","shernandez@adnauseumgaming.com","4346","DevOps Engineer","Finance","137b0977-55c1-4891-8f13-739017801064","2/20/2025 9:16 PM","7/15/2025 9:16 PM","TRUE","shernandez@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","7/15/2025 9:16 PM","7/20/2025 9:16 PM","","","FALSE","459","1","FALSE","FALSE","FALSE","scooper","Building H, Floor 1","555-1000","555-2000","AdNauseum Gaming"
"Patrick","Robinson","Patrick Robinson","probinson","CN=Robinson,Patrick,OU=Users,OU=Security,DC=adnauseumgaming,DC=com","probinson@adnauseumgaming.com","5931","Operations Manager","Security","3b9b0bcf-e68f-4b6d-8012-0c9acbd38cbe","7/30/2024 9:16 PM","7/4/2025 9:16 PM","TRUE","probinson@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/13/2025 9:16 PM","7/19/2025 9:16 PM","","","FALSE","212","1","FALSE","FALSE","FALSE","ggreen","Building G, Floor 2","555-1000","555-2000","AdNauseum Gaming"
"Scott","Nelson","Scott Nelson","snelson","CN=Nelson,Scott,OU=Users,OU=Sales,DC=adnauseumgaming,DC=com","snelson@adnauseumgaming.com","7732","Benefits Coordinator","Sales","743340db-95a6-4211-8113-6ca7e0b1997c","3/13/2025 9:16 PM","7/21/2025 9:16 PM","TRUE","snelson@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/3/2025 9:16 PM","7/19/2025 9:16 PM","","","FALSE","96","0","FALSE","FALSE","FALSE","","Building B, Floor 1","555-1000","555-2000","AdNauseum Gaming"
"Alexander","Torres","Alexander Torres","atorres","CN=Torres,Alexander,OU=Users,OU=Engineering,DC=adnauseumgaming,DC=com","atorres@adnauseumgaming.com","5092","HR Specialist","Engineering","d3d25143-a477-493a-8b3e-fa33ee41c21f","11/14/2024 9:16 PM","7/20/2025 9:16 PM","TRUE","atorres@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/21/2025 9:16 PM","7/20/2025 9:16 PM","","","FALSE","416","0","FALSE","FALSE","FALSE","sbutler","Building F, Floor 1","555-1000","555-2000","AdNauseum Gaming"
"Nancy","Foster","Nancy Foster","nfoster","CN=Foster,Nancy,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","nfoster@adnauseumgaming.com","9758","Business Analyst","Accounting","ef826824-46b0-4fe9-8449-a4135e77ffc5","4/25/2025 9:16 PM","6/25/2025 9:16 PM","TRUE","nfoster@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/23/2025 9:16 PM","7/17/2025 9:16 PM","","","FALSE","180","0","FALSE","FALSE","FALSE","scox","Building D, Floor 2","555-1000","555-2000","AdNauseum Gaming"
"Ann","Taylor","Ann Taylor","ataylor","CN=Taylor,Ann,OU=Users,OU=Finance,DC=adnauseumgaming,DC=com","ataylor@adnauseumgaming.com","7139","Cloud Engineer","Finance","3ac9b8d1-5763-46cc-806d-e0745aa32cf6","11/24/2024 9:16 PM","7/8/2025 9:16 PM","TRUE","ataylor@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/8/2025 9:16 PM","7/21/2025 9:16 PM","","","FALSE","78","0","FALSE","FALSE","FALSE","jclark","Building C, Floor 2","555-1000","555-2000","AdNauseum Gaming"
"Brian","King","Brian King","bking","CN=King,Brian,OU=Users,OU=Legal,DC=adnauseumgaming,DC=com","bking@adnauseumgaming.com","9283","Treasury Analyst","Legal","a45857d6-b055-4e21-8f7a-a19dfd5ac736","3/29/2025 9:16 PM","7/22/2025 9:16 PM","TRUE","bking@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/4/2025 9:16 PM","7/21/2025 9:16 PM","","","FALSE","327","1","FALSE","FALSE","FALSE","","Building F, Floor 2","555-1000","555-2000","AdNauseum Gaming"
"Dennis","Thomas","Dennis Thomas","dthomas","CN=Thomas,Dennis,OU=Users,OU=Legal,DC=adnauseumgaming,DC=com","dthomas@adnauseumgaming.com","4006","Benefits Coordinator","Legal","0746c0e8-ed99-40a4-97f4-75a5bcf286fd","7/31/2024 9:16 PM","6/25/2025 9:16 PM","TRUE","dthomas@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/17/2025 9:16 PM","7/20/2025 9:16 PM","","","FALSE","385","0","FALSE","FALSE","FALSE","lcook","Building I, Floor 1","555-1000","555-2000","AdNauseum Gaming"
"Brian","Watson","Brian Watson","bwatson","CN=Watson,Brian,OU=Users,OU=Finance,DC=adnauseumgaming,DC=com","bwatson@adnauseumgaming.com","3448","Marketing Specialist","Finance","e51eebfb-34ad-4a4a-8355-e31251426d7d","10/30/2024 9:16 PM","7/18/2025 9:16 PM","TRUE","bwatson@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/15/2025 9:16 PM","7/19/2025 9:16 PM","","","FALSE","168","0","FALSE","FALSE","FALSE","scooper","Building H, Floor 2","555-1000","555-2000","AdNauseum Gaming"
"Chloe","Torres","Chloe Torres","ctorres","CN=Torres,Chloe,OU=Users,OU=IT,DC=adnauseumgaming,DC=com","ctorres@adnauseumgaming.com","7832","Domain Admin","IT","f047458e-578b-40d5-9c5f-45fbc286d67f","6/14/2025 9:16 PM","7/8/2025 9:16 PM","TRUE","ctorres@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","7/21/2025 9:16 PM","7/22/2025 9:16 PM","","","FALSE","549","0","FALSE","FALSE","FALSE","jwilson","Building J, Floor 1","555-1000","555-2000","AdNauseum Gaming"
"Benjamin","Thompson","Benjamin Thompson","bthompson","CN=Thompson,Benjamin,OU=Users,OU=IT,DC=adnauseumgaming,DC=com","bthompson@adnauseumgaming.com","4972","Service Account","IT","264476c2-6724-4c19-ab17-d3fa4c4f5275","4/1/2025 9:16 PM","7/15/2025 9:16 PM","TRUE","bthompson@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/24/2025 9:16 PM","","","","FALSE","0","0","FALSE","FALSE","FALSE","","Building E, Floor 2","555-1000","555-2000","AdNauseum Gaming"
"Kyle","Bryant","Kyle Bryant","kbryant","CN=Bryant,Kyle,OU=Users,OU=IT,DC=adnauseumgaming,DC=com","kbryant@adnauseumgaming.com","5818","Regular User","IT","c1c61703-8225-46dc-b165-bd35311e8336","4/18/2025 9:16 PM","7/12/2025 9:16 PM","TRUE","kbryant@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/23/2025 9:16 PM","7/19/2025 9:16 PM","","","FALSE","141","0","FALSE","FALSE","FALSE","rrodriguez","Building F, Floor 1","555-1000","555-2000","AdNauseum Gaming"
"Mary","Robinson","Mary Robinson","mrobinson","CN=Robinson,Mary,OU=Users,OU=IT,DC=adnauseumgaming,DC=com","mrobinson@adnauseumgaming.com","7664","Regular User","IT","657f92a3-301d-416f-a7c7-bd0df9488a08","8/24/2024 9:16 PM","7/10/2025 9:16 PM","TRUE","mrobinson@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/13/2025 9:16 PM","7/19/2025 9:16 PM","","","FALSE","266","10","FALSE","FALSE","FALSE","rrodriguez","Building E, Floor 2","555-1000","555-2000","AdNauseum Gaming"
"Martha","Jenkins","Martha Jenkins","mjenkins","CN=Jenkins,Martha,OU=Users,OU=IT,DC=adnauseumgaming,DC=com","mjenkins@adnauseumgaming.com","5400","Regular User","IT","d55ee2e7-f06d-4bc7-ad10-9095a35388f5","12/25/2024 9:16 PM","7/9/2025 9:16 PM","TRUE","mjenkins@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/18/2025 9:16 PM","7/17/2025 9:16 PM","","","FALSE","300","0","FALSE","FALSE","FALSE","jwilson","Building G, Floor 1","555-1000","555-2000","AdNauseum Gaming"
"Jessica","Reyes","Jessica Reyes","jreyes","CN=Reyes,Jessica,OU=Users,OU=IT,DC=adnauseumgaming,DC=com","jreyes@adnauseumgaming.com","6081","Service Account","IT","564280c2-9e9d-4225-990d-b16430cbe246","2/3/2025 9:16 PM","6/27/2025 9:16 PM","TRUE","jreyes@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/27/2025 9:16 PM","7/23/2025 12:16 PM","","","FALSE","76","0","FALSE","FALSE","FALSE","jwilson","Building I, Floor 1","555-1000","555-2000","AdNauseum Gaming"
"Michael","Garcia","Michael Garcia","mgarcia","CN=Garcia,Michael,OU=Users,OU=IT,DC=adnauseumgaming,DC=com","mgarcia@adnauseumgaming.com","4839","Regular User","IT","b36a38a9-d2a5-42f7-b6a9-1d8d4915fb98","6/16/2025 9:16 PM","7/1/2025 9:16 PM","TRUE","mgarcia@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","5/27/2025 9:16 PM","7/18/2025 9:16 PM","","","FALSE","653","0","FALSE","FALSE","FALSE","jwilson","Building L, Floor 1","555-1000","555-2000","AdNauseum Gaming"
"John","Simmons","John Simmons","jsimmons998","CN=Simmons,John,OU=Users,OU=IT,DC=adnauseumgaming,DC=com","jsimmons998@adnauseumgaming.com","1679","Regular User","IT","58e885d5-8cef-4e06-98ff-67b6b5b59649","2/3/2025 9:16 PM","7/19/2025 9:16 PM","TRUE","jsimmons998@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","7/9/2025 9:16 PM","7/21/2025 9:16 PM","","","FALSE","1179","0","FALSE","FALSE","FALSE","mthomas","Building D, Floor 1","555-1000","555-2000","AdNauseum Gaming"
"Elizabeth","Cox","Elizabeth Cox","ecox","CN=Cox,Elizabeth,OU=Users,OU=IT,DC=adnauseumgaming,DC=com","ecox@adnauseumgaming.com","3028","Regular User","IT","5526bc4f-7708-4a71-9855-f42655227db6","3/12/2025 9:16 PM","7/12/2025 9:16 PM","TRUE","ecox@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","7/17/2025 9:16 PM","7/19/2025 9:16 PM","","","FALSE","5","0","FALSE","FALSE","FALSE","rrodriguez","Building C, Floor 1","555-1000","555-2000","AdNauseum Gaming"
"Joseph","Cruz","Joseph Cruz","jcruz","CN=Cruz,Joseph,OU=Users,OU=Sales,DC=adnauseumgaming,DC=com","jcruz@adnauseumgaming.com","2364","System Admin","Sales","40f4d729-d6fb-4c52-8693-391f38f46e78","9/29/2024 9:16 PM","7/1/2025 9:16 PM","TRUE","jcruz@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","7/9/2025 9:16 PM","7/19/2025 9:16 PM","","","FALSE","82","0","FALSE","FALSE","FALSE","gdiaz","Building J, Floor 1","555-1000","555-2000","AdNauseum Gaming"
"Harper","King","Harper King","hking","CN=King,Harper,OU=Users,OU=IT,DC=adnauseumgaming,DC=com","hking@adnauseumgaming.com","2041","Regular User","IT","4c8b4f5a-4fda-400b-89bb-33bad5b95e97","5/8/2025 9:16 PM","7/11/2025 9:16 PM","TRUE","hking@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/22/2025 9:16 PM","7/19/2025 9:16 PM","","","FALSE","235","0","FALSE","FALSE","FALSE","jwilson","Building G, Floor 1","555-1000","555-2000","AdNauseum Gaming"
