"FirstName","LastName","DisplayName","SamAccountName","DistinguishedName","EmailAddress","EmpID","Title","Department","Guid","Created","Modified","Enabled","UserPrincipalName","SID","PrimaryGroupID","PasswordLastSet","LastLogonDate","AccountExpirationDate","LockoutTime","LockedOut","LogonCount","BadPasswordCount","PasswordNeverExpires","CannotChangePassword","SmartCardRequired","Manager","Office","PhoneNumber","Mobile","Company","whenCreated","whenChanged","pwdLastSet","accountExpires"
"David","Wright","David Wright","dwright","CN=Wright,David,OU=Users,OU=Engineering,DC=adnauseumgaming,DC=com","dwright@adnauseumgaming.com","5534","Project Manager","Engineering","0c4b3c2b-a88c-4808-a230-c0b235228352","5/17/2025 9:47 PM","7/20/2025 9:47 PM","TRUE","dwright@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","7/6/2025 9:47 PM","7/18/2025 9:47 PM","","","FALSE","451","1","FALSE","FALSE","FALSE","","Building J, Floor 2","555-1000","555-2000","AdNauseum Gaming","5/17/2025 9:47 PM","7/20/2025 9:47 PM","7/6/2025 9:47 PM",""
"Christopher","Patterson","Christopher Patterson","cpatterson","CN=Patterson,Christopher,OU=Users,OU=HR,DC=adnauseumgaming,DC=com","cpatterson@adnauseumgaming.com","3727","Cybersecurity Engineer","HR","b3bb28de-d518-40d5-8e5c-83d2da274228","1/23/2025 9:47 PM","7/1/2025 9:47 PM","TRUE","cpatterson@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/3/2025 9:47 PM","7/19/2025 9:47 PM","","","FALSE","485","0","FALSE","FALSE","FALSE","dnguyen","Building B, Floor 2","555-1000","555-2000","AdNauseum Gaming","1/23/2025 9:47 PM","7/1/2025 9:47 PM","6/3/2025 9:47 PM",""
"Frank","Jenkins","Frank Jenkins","fjenkins","CN=Jenkins,Frank,OU=Users,OU=Finance,DC=adnauseumgaming,DC=com","fjenkins@adnauseumgaming.com","7249","Legal Counsel","Finance","a3282197-ebe2-490c-8a1b-a4c8266bea50","1/13/2025 9:47 PM","6/26/2025 9:47 PM","TRUE","fjenkins@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/28/2025 9:47 PM","7/18/2025 9:47 PM","","","FALSE","395","0","FALSE","FALSE","FALSE","mallen","Building C, Floor 2","555-1000","555-2000","AdNauseum Gaming","1/13/2025 9:47 PM","6/26/2025 9:47 PM","6/28/2025 9:47 PM",""
"Henry","Brooks","Henry Brooks","hbrooks","CN=Brooks,Henry,OU=Users,OU=Engineering,DC=adnauseumgaming,DC=com","hbrooks@adnauseumgaming.com","7864","Security Analyst","Engineering","2521d9af-95cd-417a-8c28-73fd2404043a","12/22/2024 9:47 PM","7/19/2025 9:47 PM","TRUE","hbrooks@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","7/21/2025 9:47 PM","7/21/2025 9:47 PM","","","FALSE","67","0","FALSE","FALSE","FALSE","enelson","Building E, Floor 1","555-1000","555-2000","AdNauseum Gaming","12/22/2024 9:47 PM","7/19/2025 9:47 PM","7/21/2025 9:47 PM",""
"Nancy","Davis","Nancy Davis","ndavis","CN=Davis,Nancy,OU=Users,OU=IT,DC=adnauseumgaming,DC=com","ndavis@adnauseumgaming.com","9078","Database Administrator","IT","703144fd-f0ca-4a88-97c2-381e4bd9e2fa","3/19/2025 9:47 PM","7/23/2025 9:47 PM","TRUE","ndavis@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","7/14/2025 9:47 PM","7/21/2025 9:47 PM","","","FALSE","252","0","FALSE","FALSE","FALSE","jwilson","Building C, Floor 1","555-1000","555-2000","AdNauseum Gaming","3/19/2025 9:47 PM","7/23/2025 9:47 PM","7/14/2025 9:47 PM",""
"Jacob","Hughes","Jacob Hughes","jhughes","CN=Hughes,Jacob,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","jhughes@adnauseumgaming.com","8499","Account Executive","Accounting","cc875e83-9dda-4f1e-8bdb-88357f97052d","8/27/2024 9:47 PM","7/21/2025 9:47 PM","TRUE","jhughes@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/19/2025 9:47 PM","7/19/2025 9:47 PM","","","FALSE","448","0","FALSE","FALSE","FALSE","scox","Building D, Floor 2","555-1000","555-2000","AdNauseum Gaming","8/27/2024 9:47 PM","7/21/2025 9:47 PM","6/19/2025 9:47 PM",""
"Andrew","Young","Andrew Young","ayoung","CN=Young,Andrew,OU=Users,OU=Operations,DC=adnauseumgaming,DC=com","ayoung@adnauseumgaming.com","1430","Data Analyst","Operations","ac51225a-e649-4040-a530-a28cb4f845f1","4/26/2025 9:47 PM","7/16/2025 9:47 PM","TRUE","ayoung@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/16/2025 9:47 PM","7/23/2025 9:47 PM","","","FALSE","489","1","FALSE","FALSE","FALSE","nross","Building J, Floor 2","555-1000","555-2000","AdNauseum Gaming","4/26/2025 9:47 PM","7/16/2025 9:47 PM","6/16/2025 9:47 PM",""
"Jennifer","Miller","Jennifer Miller","jmiller","CN=Miller,Jennifer,OU=Users,OU=Marketing,DC=adnauseumgaming,DC=com","jmiller@adnauseumgaming.com","8266","Investment Manager","Marketing","5339041b-bd6e-493e-98c7-5d48241c2a09","7/25/2024 9:47 PM","7/22/2025 9:47 PM","TRUE","jmiller@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/11/2025 9:47 PM","7/20/2025 9:47 PM","","","FALSE","449","0","FALSE","FALSE","FALSE","ladams","Building H, Floor 1","555-1000","555-2000","AdNauseum Gaming","7/25/2024 9:47 PM","7/22/2025 9:47 PM","6/11/2025 9:47 PM",""
"Sara","Lopez","Sara Lopez","slopez","CN=Lopez,Sara,OU=Users,OU=Finance,DC=adnauseumgaming,DC=com","slopez@adnauseumgaming.com","7296","Benefits Coordinator","Finance","ea626f48-9af2-4040-8b17-b3b4a726d936","2/8/2025 9:47 PM","7/16/2025 9:47 PM","TRUE","slopez@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","7/22/2025 9:47 PM","7/21/2025 9:47 PM","","","FALSE","58","1","FALSE","FALSE","FALSE","scooper","Building F, Floor 2","555-1000","555-2000","AdNauseum Gaming","2/8/2025 9:47 PM","7/16/2025 9:47 PM","7/22/2025 9:47 PM",""
"Evelyn","Kelly","Evelyn Kelly","ekelly","CN=Kelly,Evelyn,OU=Users,OU=Sales,DC=adnauseumgaming,DC=com","ekelly@adnauseumgaming.com","2308","Treasury Analyst","Sales","6e2e4475-0519-49a3-92d7-a105929c5885","4/29/2025 9:47 PM","6/25/2025 9:47 PM","TRUE","ekelly@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/28/2025 9:47 PM","7/18/2025 9:47 PM","","","FALSE","247","1","FALSE","FALSE","FALSE","mfoster","Building E, Floor 1","555-1000","555-2000","AdNauseum Gaming","4/29/2025 9:47 PM","6/25/2025 9:47 PM","6/28/2025 9:47 PM",""
"Jacob","Gonzalez","Jacob Gonzalez","jgonzalez","CN=Gonzalez,Jacob,OU=Users,OU=Security,DC=adnauseumgaming,DC=com","jgonzalez@adnauseumgaming.com","5552","Benefits Coordinator","Security","2751398a-0f9c-4326-854c-3f9a97b9d3aa","12/22/2024 9:47 PM","7/11/2025 9:47 PM","TRUE","jgonzalez@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/7/2025 9:47 PM","7/23/2025 9:47 PM","","","FALSE","499","1","FALSE","FALSE","FALSE","rhill","Building K, Floor 2","555-1000","555-2000","AdNauseum Gaming","12/22/2024 9:47 PM","7/11/2025 9:47 PM","6/7/2025 9:47 PM",""
"Sarah","Martinez","Sarah Martinez","smartinez","CN=Martinez,Sarah,OU=Users,OU=Finance,DC=adnauseumgaming,DC=com","smartinez@adnauseumgaming.com","7855","Financial Analyst","Finance","f60b636a-221b-4805-9387-c1c656013b7d","9/30/2024 9:47 PM","6/27/2025 9:47 PM","TRUE","smartinez@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","7/5/2025 9:47 PM","7/23/2025 9:47 PM","","","FALSE","298","0","FALSE","FALSE","FALSE","","Building E, Floor 1","555-1000","555-2000","AdNauseum Gaming","9/30/2024 9:47 PM","6/27/2025 9:47 PM","7/5/2025 9:47 PM",""
"Grace","Gonzales","Grace Gonzales","ggonzales","CN=Gonzales,Grace,OU=Users,OU=Security,DC=adnauseumgaming,DC=com","ggonzales@adnauseumgaming.com","6756","Legal Counsel","Security","654faffe-f534-4533-a2ea-6924881d07f4","4/21/2025 9:47 PM","7/7/2025 9:47 PM","TRUE","ggonzales@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","7/21/2025 9:47 PM","7/21/2025 9:47 PM","","","FALSE","198","1","FALSE","FALSE","FALSE","ggreen","Building A, Floor 2","555-1000","555-2000","AdNauseum Gaming","4/21/2025 9:47 PM","7/7/2025 9:47 PM","7/21/2025 9:47 PM",""
"Sophia","Morris","Sophia Morris","smorris","CN=Morris,Sophia,OU=Users,OU=Engineering,DC=adnauseumgaming,DC=com","smorris@adnauseumgaming.com","8807","Process Manager","Engineering","bb298204-17a5-437a-aa03-403b4c846ffd","12/1/2024 9:47 PM","7/1/2025 9:47 PM","TRUE","smorris@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","5/29/2025 9:47 PM","7/19/2025 9:47 PM","","","FALSE","296","0","FALSE","FALSE","FALSE","","Building I, Floor 1","555-1000","555-2000","AdNauseum Gaming","12/1/2024 9:47 PM","7/1/2025 9:47 PM","5/29/2025 9:47 PM",""
"Jerry","Morris","Jerry Morris","jmorris","CN=Morris,Jerry,OU=Users,OU=IT,DC=adnauseumgaming,DC=com","jmorris@adnauseumgaming.com","5749","Domain Admin","IT","86b38e53-e416-46b7-b1a9-9011e13c8064","1/18/2025 9:47 PM","7/6/2025 9:47 PM","TRUE","jmorris@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","7/22/2025 9:47 PM","7/22/2025 9:47 PM","","","FALSE","274","0","FALSE","FALSE","FALSE","jwilson","Building B, Floor 2","555-1000","555-2000","AdNauseum Gaming","1/18/2025 9:47 PM","7/6/2025 9:47 PM","7/22/2025 9:47 PM",""
"Isabella","Collins","Isabella Collins","icollins","CN=Collins,Isabella,OU=Users,OU=IT,DC=adnauseumgaming,DC=com","icollins@adnauseumgaming.com","3048","Service Account","IT","276ad8b9-8dda-4713-8e52-dffbb72165c9","4/27/2025 9:47 PM","7/3/2025 9:47 PM","TRUE","icollins@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","7/15/2025 9:47 PM","","","","FALSE","0","0","FALSE","FALSE","FALSE","jwilson","Building G, Floor 1","555-1000","555-2000","AdNauseum Gaming","4/27/2025 9:47 PM","7/3/2025 9:47 PM","7/15/2025 9:47 PM",""
"Avery","Anderson","Avery Anderson","aanderson","CN=Anderson,Avery,OU=Users,OU=IT,DC=adnauseumgaming,DC=com","aanderson@adnauseumgaming.com","3448","Regular User","IT","ca57946a-8d46-49a2-8ba8-180ec1081afd","3/28/2025 9:47 PM","7/6/2025 9:47 PM","TRUE","aanderson@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/16/2025 9:47 PM","7/21/2025 9:47 PM","","","FALSE","77","0","FALSE","FALSE","FALSE","mthomas","Building D, Floor 2","555-1000","555-2000","AdNauseum Gaming","3/28/2025 9:47 PM","7/6/2025 9:47 PM","6/16/2025 9:47 PM",""
"Julie","Powell","Julie Powell","jpowell","CN=Powell,Julie,OU=Users,OU=IT,DC=adnauseumgaming,DC=com","jpowell@adnauseumgaming.com","5187","Regular User","IT","dac4a22a-3afb-4340-8add-8efe4c60dc2c","5/25/2025 9:47 PM","7/11/2025 9:47 PM","TRUE","jpowell@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","7/5/2025 9:47 PM","7/18/2025 9:47 PM","","","FALSE","121","10","FALSE","FALSE","FALSE","jwilson","Building H, Floor 2","555-1000","555-2000","AdNauseum Gaming","5/25/2025 9:47 PM","7/11/2025 9:47 PM","7/5/2025 9:47 PM",""
"Walter","Morgan","Walter Morgan","wmorgan","CN=Morgan,Walter,OU=Users,OU=IT,DC=adnauseumgaming,DC=com","wmorgan@adnauseumgaming.com","9667","Regular User","IT","5eab504f-9f85-42e7-8089-a0db7b46d914","1/1/2025 9:47 PM","7/8/2025 9:47 PM","TRUE","wmorgan@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/28/2025 9:47 PM","7/20/2025 9:47 PM","","","FALSE","300","0","FALSE","FALSE","FALSE","","Building F, Floor 2","555-1000","555-2000","AdNauseum Gaming","1/1/2025 9:47 PM","7/8/2025 9:47 PM","6/28/2025 9:47 PM",""
"Riley","Alexander","Riley Alexander","ralexander","CN=Alexander,Riley,OU=Users,OU=IT,DC=adnauseumgaming,DC=com","ralexander@adnauseumgaming.com","3321","Service Account","IT","71ed5a1f-bd5a-496e-994b-cd3a67365896","10/25/2024 9:47 PM","6/28/2025 9:47 PM","TRUE","ralexander@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/30/2025 9:47 PM","7/24/2025 1:47 PM","","","FALSE","97","0","FALSE","FALSE","FALSE","rrodriguez","Building E, Floor 1","555-1000","555-2000","AdNauseum Gaming","10/25/2024 9:47 PM","6/28/2025 9:47 PM","6/30/2025 9:47 PM",""
