"FirstName","LastName","DisplayName","SamAccountName","DistinguishedName","EmailAddress","EmpID","JobTitle","Department","Guid","Created","Modified","Enabled"
"Ivory","Lara","Ivory Lara","ilara","CN=Lara,Ivory,OU=Users,OU=Marketing,DC=adnauseumgaming,DC=com","ilara@adnauseumgaming.com","SM5246","Marketing Analyst","Marketing","84f18687-e767-4482-acd8-fb601e2f54d2","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Alison","Collier","Alison Collier","acollier","CN=Collier,Alison,OU=Users,OU=Security,DC=adnauseumgaming,DC=com","acollier@adnauseumgaming.com","VT4590","Cybersecurity Engineer","Security","59017cbe-cb63-419e-8fce-315bbe977192","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Bradley","Flowers","Bradley Flowers","bflowers","CN=Flowers,Bradley,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","bflowers@adnauseumgaming.com","WO4757","Account Manager","Accounting","e7129996-0e65-4390-a30c-ee24e153207f","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Kristina","Acosta","Kristina Acosta","kacosta","CN=Acosta,Kristina,OU=Users,OU=Sales,DC=adnauseumgaming,DC=com","kacosta@adnauseumgaming.com","NA2552","Sales Representative","Sales","e18533db-f5b3-4cb4-8de3-6d3845ab2190","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Rod","Calhoun","Rod Calhoun","rcalhoun","CN=Calhoun,Rod,OU=Users,OU=Sales,DC=adnauseumgaming,DC=com","rcalhoun@adnauseumgaming.com","QJ2683","Sales Representative","Sales","dca4ef35-a2ec-4c66-870a-5e3fc237c30e","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Ed","Mccoy","Ed Mccoy","emccoy","CN=Mccoy,Ed,OU=Users,OU=Sales,DC=adnauseumgaming,DC=com","emccoy@adnauseumgaming.com","IJ8597","Sales Representative","Sales","831d7f48-fa2d-4653-9f77-c5740d041f4a","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Jackie","Pennington","Jackie Pennington","jpennington","CN=Pennington,Jackie,OU=Users,OU=Marketing,DC=adnauseumgaming,DC=com","jpennington@adnauseumgaming.com","QT6982","Marketing Analyst","Marketing","cf7b40a3-30f9-49cd-9699-80249c77c6e2","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Gena","Robles","Gena Robles","grobles","CN=Robles,Gena,OU=Users,OU=HR,DC=adnauseumgaming,DC=com","grobles@adnauseumgaming.com","PH1586","HR Analyst","HR","deb4f8c0-37cd-4259-99ee-747261334ee9","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Kip","Sandoval","Kip Sandoval","ksandoval","CN=Sandoval,Kip,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","ksandoval@adnauseumgaming.com","DH5674","Account Manager","Accounting","568e25ae-ef67-4698-bb07-97607e92f52f","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Angeline","Castaneda","Angeline Castaneda","acastaneda","CN=Castaneda,Angeline,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","acastaneda@adnauseumgaming.com","VL8246","Account Manager","Accounting","03982b06-efc8-4125-8532-0998fbb04521","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Lori","Owens","Lori Owens","lowens","CN=Owens,Lori,OU=Users,OU=Sales,DC=adnauseumgaming,DC=com","lowens@adnauseumgaming.com","QC7966","Sales Representative","Sales","c882d145-3be1-4fec-bff7-cee917dee522","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Christy","Roberson","Christy Roberson","croberson","CN=Roberson,Christy,OU=Users,OU=HR,DC=adnauseumgaming,DC=com","croberson@adnauseumgaming.com","RS9558","HR Director","HR","f55463c8-4ae0-46cc-8ab4-8243a7457e89","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Carmella","Chang","Carmella Chang","cchang","CN=Chang,Carmella,OU=Users,OU=Sales,DC=adnauseumgaming,DC=com","cchang@adnauseumgaming.com","GL9686","Sales Representative","Sales","d06b1ab9-a4da-49ce-b8b5-78b76822d453","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Otto","Monroe","Otto Monroe","omonroe","CN=Monroe,Otto,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","omonroe@adnauseumgaming.com","MY8271","Financial Analyst","Accounting","78ba036c-a55f-4ae5-b4d5-f1dd8e3970b2","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Ambrose","Farmer","Ambrose Farmer","afarmer","CN=Farmer,Ambrose,OU=Users,OU=Marketing,DC=adnauseumgaming,DC=com","afarmer@adnauseumgaming.com","ZB8960","Marketing Analyst","Marketing","d66ccb1a-63b8-4863-aa33-1b780be67ec2","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Katrina","Harrington","Katrina Harrington","kharrington","CN=Harrington,Katrina,OU=Users,OU=Security,DC=adnauseumgaming,DC=com","kharrington@adnauseumgaming.com","RT3161","Cybersecurity Analyst","Security","e65896ec-c2b0-4f80-a483-a0e741b320f3","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Judith","Wall","Judith Wall","jwall","CN=Wall,Judith,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","jwall@adnauseumgaming.com","MN7254","Financial Analyst","Accounting","c7fe36fb-e6c7-465e-84dc-8ec81b26fd2f","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Zachariah","Huerta","Zachariah Huerta","zhuerta","CN=Huerta,Zachariah,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","zhuerta@adnauseumgaming.com","WT2907","Financial Analyst","Accounting","33a7d952-d932-49a5-8688-4b1cc75d33ca","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Rhonda","Donovan","Rhonda Donovan","rdonovan","CN=Donovan,Rhonda,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","rdonovan@adnauseumgaming.com","WM9512","Account Manager","Accounting","c297d4ff-166d-49fe-9820-77aba40a6370","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Calvin","Preston","Calvin Preston","cpreston","CN=Preston,Calvin,OU=Users,OU=Sales,DC=adnauseumgaming,DC=com","cpreston@adnauseumgaming.com","TR8283","Sales Representative","Sales","86cf7839-f4da-4f20-8302-1a9b5669eb99","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Tammi","Perry","Tammi Perry","tperry","CN=Perry,Tammi,OU=Users,OU=Sales,DC=adnauseumgaming,DC=com","tperry@adnauseumgaming.com","SD6944","Sales Representative","Sales","8973f1ee-34cc-4616-9c6c-8922573b83cc","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Doug","Richards","Doug Richards","drichards","CN=Richards,Doug,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","drichards@adnauseumgaming.com","SG1069","Account Manager","Accounting","6b30f9cb-dcf2-425b-b32f-d0c56c1d8bd3","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Louie","Molina","Louie Molina","lmolina","CN=Molina,Louie,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","lmolina@adnauseumgaming.com","WV2869","Account Manager","Accounting","88768774-a42f-4bd9-adb8-a0e95026aea9","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Mario","Romero","Mario Romero","mromero","CN=Romero,Mario,OU=Users,OU=Sales,DC=adnauseumgaming,DC=com","mromero@adnauseumgaming.com","FM1041","Sales Representative","Sales","8ab91e2a-b85f-409d-ae13-4eb6f189197f","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Julius","Olson","Julius Olson","jolson","CN=Olson,Julius,OU=Users,OU=HR,DC=adnauseumgaming,DC=com","jolson@adnauseumgaming.com","BU6612","HR Analyst","HR","ab4b267f-9c90-499b-830e-9722617d489c","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Alta","Grimes","Alta Grimes","agrimes","CN=Grimes,Alta,OU=Users,OU=Security,DC=adnauseumgaming,DC=com","agrimes@adnauseumgaming.com","NB5650","Cybersecurity Engineer","Security","45ef5742-ad7b-4da4-bee7-52d42cd72072","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Rickey","Mccarty","Rickey Mccarty","rmccarty","CN=Mccarty,Rickey,OU=Users,OU=Security,DC=adnauseumgaming,DC=com","rmccarty@adnauseumgaming.com","UX3420","Cybersecurity Engineer","Security","bd5d8216-26ec-4011-bb37-599b15fd2c15","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Elbert","Shaw","Elbert Shaw","eshaw","CN=Shaw,Elbert,OU=Users,OU=Sales,DC=adnauseumgaming,DC=com","eshaw@adnauseumgaming.com","SA9732","Sales Representative","Sales","19c4a62f-4783-457f-8844-1e594c8e4524","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Tomas","Brandt","Tomas Brandt","tbrandt","CN=Brandt,Tomas,OU=Users,OU=Security,DC=adnauseumgaming,DC=com","tbrandt@adnauseumgaming.com","BP8247","Cybersecurity Analyst","Security","a85ab1c1-b0c2-436e-bfc5-6266ed7d6b71","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Freddy","Russell","Freddy Russell","frussell","CN=Russell,Freddy,OU=Users,OU=Sales,DC=adnauseumgaming,DC=com","frussell@adnauseumgaming.com","GV6437","Sales Representative","Sales","f8befb24-6c76-4cd1-908c-4687245847df","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Marcelino","Nicholson","Marcelino Nicholson","mnicholson","CN=Nicholson,Marcelino,OU=Users,OU=HR,DC=adnauseumgaming,DC=com","mnicholson@adnauseumgaming.com","HD0470","HR Director","HR","742a1ac6-bef9-4638-8b25-fc6ef68b3d4e","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Marina","Haley","Marina Haley","mhaley","CN=Haley,Marina,OU=Users,OU=Security,DC=adnauseumgaming,DC=com","mhaley@adnauseumgaming.com","GJ8754","Cybersecurity Analyst","Security","b367278d-966b-4202-bf50-7e8fbcf6762e","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Arnulfo","Gonzalez","Arnulfo Gonzalez","agonzalez","CN=Gonzalez,Arnulfo,OU=Users,OU=HR,DC=adnauseumgaming,DC=com","agonzalez@adnauseumgaming.com","NL5661","HR Director","HR","f1fcc790-e6c5-4667-a895-8aeb53d00342","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Katy","Schroeder","Katy Schroeder","kschroeder","CN=Schroeder,Katy,OU=Users,OU=Security,DC=adnauseumgaming,DC=com","kschroeder@adnauseumgaming.com","US6493","Cybersecurity Analyst","Security","22471079-a9a7-4235-9b41-f2283cc82c37","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Lea","Wright","Lea Wright","lwright","CN=Wright,Lea,OU=Users,OU=Security,DC=adnauseumgaming,DC=com","lwright@adnauseumgaming.com","YS3195","Cybersecurity Analyst","Security","36552554-9a5f-4a02-ae98-c988fba16c48","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Damien","Cooley","Damien Cooley","dcooley","CN=Cooley,Damien,OU=Users,OU=HR,DC=adnauseumgaming,DC=com","dcooley@adnauseumgaming.com","ZO6549","HR Director","HR","ce937d5d-6b11-41a2-b9c3-a5eb557c2aec","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Velma","Camacho","Velma Camacho","vcamacho","CN=Camacho,Velma,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","vcamacho@adnauseumgaming.com","VB8595","Account Manager","Accounting","28638bba-e12c-45d6-a45a-1683da486e2d","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Tammy","Lin","Tammy Lin","tlin","CN=Lin,Tammy,OU=Users,OU=Sales,DC=adnauseumgaming,DC=com","tlin@adnauseumgaming.com","WD9062","Sales Representative","Sales","5a8ee36d-c12c-4dea-b970-3f755e7e1c1f","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Lamont","York","Lamont York","lyork","CN=York,Lamont,OU=Users,OU=HR,DC=adnauseumgaming,DC=com","lyork@adnauseumgaming.com","QO8683","HR Director","HR","008d4f12-fd0b-4be5-821f-ff2a6c14be71","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Romeo","Rodgers","Romeo Rodgers","rrodgers","CN=Rodgers,Romeo,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","rrodgers@adnauseumgaming.com","PU3597","Financial Analyst","Accounting","0ed0176c-3fed-446c-a27b-a0bcfc8df893","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Regina","Stephens","Regina Stephens","rstephens","CN=Stephens,Regina,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","rstephens@adnauseumgaming.com","RE1758","Account Manager","Accounting","1d525733-9bc2-4edc-b164-de97d03246f1","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Patrica","Mcbride","Patrica Mcbride","pmcbride","CN=Mcbride,Patrica,OU=Users,OU=Sales,DC=adnauseumgaming,DC=com","pmcbride@adnauseumgaming.com","FE6855","Sales Representative","Sales","3c7c6cb2-ef42-4094-b586-9b414efd6972","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Rachel","Matthews","Rachel Matthews","rmatthews","CN=Matthews,Rachel,OU=Users,OU=Sales,DC=adnauseumgaming,DC=com","rmatthews@adnauseumgaming.com","IX5387","Sales Representative","Sales","02328d12-6178-4798-8de1-ef638756ca1d","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Tammy","Patton","Tammy Patton","tpatton","CN=Patton,Tammy,OU=Users,OU=HR,DC=adnauseumgaming,DC=com","tpatton@adnauseumgaming.com","OA2406","HR Analyst","HR","0ec02735-45ca-4f52-9e3c-2676444ed978","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Toby","Huffman","Toby Huffman","thuffman","CN=Huffman,Toby,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","thuffman@adnauseumgaming.com","CL8129","Account Manager","Accounting","f755e4ea-4ac0-43e4-bd79-8928d3d45443","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Barbara","Ballard","Barbara Ballard","bballard","CN=Ballard,Barbara,OU=Users,OU=Marketing,DC=adnauseumgaming,DC=com","bballard@adnauseumgaming.com","HJ9116","Marketing Manager","Marketing","84c3d3e8-bee6-4c25-bc9d-9fc931c5d042","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Federico","Duffy","Federico Duffy","fduffy","CN=Duffy,Federico,OU=Users,OU=HR,DC=adnauseumgaming,DC=com","fduffy@adnauseumgaming.com","EC5638","HR Analyst","HR","6cd74ca4-5c58-4da4-9f67-635bb7ace47e","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Sandy","Stout","Sandy Stout","sstout","CN=Stout,Sandy,OU=Users,OU=Marketing,DC=adnauseumgaming,DC=com","sstout@adnauseumgaming.com","ED7666","Marketing Analyst","Marketing","bcb5dda2-c38a-4b48-8572-cb66fa9075c6","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Lottie","Fowler","Lottie Fowler","lfowler","CN=Fowler,Lottie,OU=Users,OU=Marketing,DC=adnauseumgaming,DC=com","lfowler@adnauseumgaming.com","ZS7580","Marketing Manager","Marketing","46657595-2b4e-47f4-bfc0-e2d99bdd75b6","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Cyril","Mullen","Cyril Mullen","cmullen","CN=Mullen,Cyril,OU=Users,OU=Security,DC=adnauseumgaming,DC=com","cmullen@adnauseumgaming.com","ED9961","Cybersecurity Analyst","Security","4f27b10d-ddf3-4e83-a01b-91ac1116bf5a","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Blair","Hood","Blair Hood","bhood","CN=Hood,Blair,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","bhood@adnauseumgaming.com","HY0219","Account Manager","Accounting","2941aafb-14df-4cb9-8ec7-c5804e12e2eb","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Lakeisha","Ortega","Lakeisha Ortega","lortega","CN=Ortega,Lakeisha,OU=Users,OU=Security,DC=adnauseumgaming,DC=com","lortega@adnauseumgaming.com","JG9065","Cybersecurity Analyst","Security","4b0dfe4a-83fc-4aa8-959c-28a82f85c0a1","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Demetrius","Blake","Demetrius Blake","dblake","CN=Blake,Demetrius,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","dblake@adnauseumgaming.com","TC8763","Financial Analyst","Accounting","299553e8-3a16-4430-a0d4-f1b67226d33c","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Jana","Bright","Jana Bright","jbright","CN=Bright,Jana,OU=Users,OU=Security,DC=adnauseumgaming,DC=com","jbright@adnauseumgaming.com","FL9401","Cybersecurity Analyst","Security","5e9d9f92-0a6c-4b91-9606-b2a92f39d831","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Josephine","Moreno","Josephine Moreno","jmoreno","CN=Moreno,Josephine,OU=Users,OU=Sales,DC=adnauseumgaming,DC=com","jmoreno@adnauseumgaming.com","MH6949","Sales Representative","Sales","d3894a60-ca28-4289-989c-e69c43184163","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Alejandra","Mcguire","Alejandra Mcguire","amcguire","CN=Mcguire,Alejandra,OU=Users,OU=Security,DC=adnauseumgaming,DC=com","amcguire@adnauseumgaming.com","XA4599","Cybersecurity Analyst","Security","940a8ba4-ef03-4958-9a2c-6e5fa712a595","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Santiago","Atkins","Santiago Atkins","satkins","CN=Atkins,Santiago,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","satkins@adnauseumgaming.com","IR2786","Financial Analyst","Accounting","c0b81d4e-0e98-4cdd-a878-0986ffcc3605","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Lea","Richmond","Lea Richmond","lrichmond","CN=Richmond,Lea,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","lrichmond@adnauseumgaming.com","NL8968","Account Manager","Accounting","18100019-e745-47b0-9cac-849efa7e9b08","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Blake","Case","Blake Case","bcase","CN=Case,Blake,OU=Users,OU=Sales,DC=adnauseumgaming,DC=com","bcase@adnauseumgaming.com","AE8893","Sales Representative","Sales","c471a84f-c601-45d4-bc50-fd712bc1d22d","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Adolfo","Benton","Adolfo Benton","abenton","CN=Benton,Adolfo,OU=Users,OU=Marketing,DC=adnauseumgaming,DC=com","abenton@adnauseumgaming.com","FC7073","Marketing Manager","Marketing","f2317c75-4eec-4503-96c2-53df5296bbf4","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Sherwood","Huerta","Sherwood Huerta","shuerta","CN=Huerta,Sherwood,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","shuerta@adnauseumgaming.com","RE5627","Financial Analyst","Accounting","5492fdfe-7904-4e62-8c8c-ae9b5f5bc377","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Rebekah","Romero","Rebekah Romero","rromero","CN=Romero,Rebekah,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","rromero@adnauseumgaming.com","QG6849","Account Manager","Accounting","b970c025-16d7-4f24-a5ac-2cb87b71880f","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Jerry","Fleming","Jerry Fleming","jfleming","CN=Fleming,Jerry,OU=Users,OU=Sales,DC=adnauseumgaming,DC=com","jfleming@adnauseumgaming.com","FK8190","Sales Representative","Sales","30ca7a98-156f-44b6-b100-30686f627e07","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Jeanie","Gamble","Jeanie Gamble","jgamble","CN=Gamble,Jeanie,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","jgamble@adnauseumgaming.com","VC1187","Account Manager","Accounting","50805648-faf0-4638-a9e5-40ba8bf6a77f","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Jospeh","Weber","Jospeh Weber","jweber","CN=Weber,Jospeh,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","jweber@adnauseumgaming.com","MQ9839","Financial Analyst","Accounting","a4027b2d-e371-4a08-a69d-e69731a740d4","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Nolan","Roth","Nolan Roth","nroth","CN=Roth,Nolan,OU=Users,OU=HR,DC=adnauseumgaming,DC=com","nroth@adnauseumgaming.com","VH4652","HR Director","HR","03676465-bbb6-4f7c-945e-21b5063f37fd","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Trent","Whitaker","Trent Whitaker","twhitaker","CN=Whitaker,Trent,OU=Users,OU=Security,DC=adnauseumgaming,DC=com","twhitaker@adnauseumgaming.com","IB2274","Cybersecurity Engineer","Security","f0bbc220-27ea-4c3a-bd86-270617ad2264","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Gwendolyn","Stark","Gwendolyn Stark","gstark","CN=Stark,Gwendolyn,OU=Users,OU=Marketing,DC=adnauseumgaming,DC=com","gstark@adnauseumgaming.com","ST7175","Marketing Manager","Marketing","9949c11a-5661-40b7-ad39-9df2f9734730","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Beth","Khan","Beth Khan","bkhan","CN=Khan,Beth,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","bkhan@adnauseumgaming.com","JT2414","Financial Analyst","Accounting","5b86cdbc-fc37-4aa5-b9a1-fa4c746b445d","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Darryl","Morgan","Darryl Morgan","dmorgan","CN=Morgan,Darryl,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","dmorgan@adnauseumgaming.com","IY8780","Account Manager","Accounting","18104fef-f325-461c-b022-1250314591b4","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Brendan","Snyder","Brendan Snyder","bsnyder","CN=Snyder,Brendan,OU=Users,OU=Marketing,DC=adnauseumgaming,DC=com","bsnyder@adnauseumgaming.com","GU9956","Marketing Manager","Marketing","d1d9bac2-0794-473e-9350-e9a269b39c13","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Merlin","Campbell","Merlin Campbell","mcampbell","CN=Campbell,Merlin,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","mcampbell@adnauseumgaming.com","OG7219","Account Manager","Accounting","a8e66e10-3a27-4590-9157-1dc260171075","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Michele","Bird","Michele Bird","mbird","CN=Bird,Michele,OU=Users,OU=Marketing,DC=adnauseumgaming,DC=com","mbird@adnauseumgaming.com","SJ7817","Marketing Analyst","Marketing","18f99f10-4047-4d8c-9542-adb4ab84d593","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Dustin","Harrison","Dustin Harrison","dharrison","CN=Harrison,Dustin,OU=Users,OU=HR,DC=adnauseumgaming,DC=com","dharrison@adnauseumgaming.com","ME1662","HR Analyst","HR","ed974326-63b4-482e-90d0-d1eefccdf262","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Lawanda","Harrell","Lawanda Harrell","lharrell","CN=Harrell,Lawanda,OU=Users,OU=Marketing,DC=adnauseumgaming,DC=com","lharrell@adnauseumgaming.com","NO7812","Marketing Analyst","Marketing","0a5c1207-48b3-4679-8434-d1d13c181d0c","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
